tyreLife;Compound;LapTime
1;SOFT;76.452
2;SOFT;76.177
3;SOFT;76.11
4;SOFT;76.14
5;SOFT;76.86
6;SOFT;75.539
7;SOFT;77.558
8;SOFT;79.67
9;SOFT;79.171
10;SOFT;78.457
11;SOFT;78.257
12;SOFT;77.992
13;SOFT;77.714
14;SOFT;79.506
15;SOFT;75.387
16;SOFT;75.46
17;SOFT;76.107
18;SOFT;75.77
19;SOFT;79.34
20;SOFT;78.54
21;SOFT;79.127
22;SOFT;79.56
23;SOFT;73.355
24;SOFT;73.103
25;SOFT;73.21
26;SOFT;76.889
27;SOFT;76.475
28;SOFT;73.066
29;SOFT;72.877
30;SOFT;72.7
31;SOFT;76.929
32;SOFT;75.593
33;SOFT;74.894
34;SOFT;75.476
35;SOFT;75.656
36;SOFT;74.267
37;SOFT;75.719
38;SOFT;77.593
39;SOFT;75.466
40;SOFT;75.216
41;SOFT;75.079
42;SOFT;74.525
43;SOFT;74.775
44;SOFT;74.521
45;SOFT;74.486
46;SOFT;77.684
47;SOFT;75.203
48;SOFT;74.606
49;SOFT;74.137
50;SOFT;74.134
51;SOFT;74.239
52;SOFT;74.241
53;SOFT;74.431
54;SOFT;74.921
55;SOFT;74.623
56;SOFT;76.493
57;SOFT;73.125
58;SOFT;72.764
59;SOFT;72.656
60;SOFT;72.855
61;SOFT;77.158
62;SOFT;76.283
63;SOFT;73.912
64;SOFT;74.627
65;SOFT;75.424
66;SOFT;77.489
67;SOFT;77.174
68;SOFT;76.893
69;SOFT;77.507
70;SOFT;73.324
71;SOFT;73.373
72;SOFT;73.035
73;SOFT;73.636
74;SOFT;73.702
75;SOFT;76.276
76;SOFT;76.298
77;SOFT;76.605
78;SOFT;77.485
1;MEDIUM;74.888
2;MEDIUM;74.059
3;MEDIUM;74.052
4;MEDIUM;73.294
5;MEDIUM;73.884
6;MEDIUM;74.271
7;MEDIUM;73.406
8;MEDIUM;73.662
9;MEDIUM;77.58
10;MEDIUM;77.316
11;MEDIUM;77.292
12;MEDIUM;77.111
13;MEDIUM;74.468
14;MEDIUM;74.539
15;MEDIUM;75.553
16;MEDIUM;74.455
17;MEDIUM;73.685
18;MEDIUM;73.68
19;MEDIUM;73.422
20;MEDIUM;73.299
21;MEDIUM;73.201
22;MEDIUM;72.881
23;MEDIUM;72.977
24;MEDIUM;72.933
25;MEDIUM;73.116
26;MEDIUM;74.114
27;MEDIUM;73.784
28;MEDIUM;73.491
29;MEDIUM;73.494
30;MEDIUM;72.846
31;MEDIUM;72.872
32;MEDIUM;73.605
33;MEDIUM;75.603
34;MEDIUM;74.893
35;MEDIUM;75.006
36;MEDIUM;75.328
37;MEDIUM;74.536
38;MEDIUM;74.132
39;MEDIUM;73.827
40;MEDIUM;74.172
41;MEDIUM;75.619
42;MEDIUM;74.808
43;MEDIUM;74.527
44;MEDIUM;73.972
45;MEDIUM;73.375
46;MEDIUM;73.714
47;MEDIUM;76.804
48;MEDIUM;75.232
49;MEDIUM;75.188
50;MEDIUM;75.94
51;MEDIUM;75.926
52;MEDIUM;74.628
53;MEDIUM;74.26
54;MEDIUM;74.697
55;MEDIUM;76.508
56;MEDIUM;75.508
57;MEDIUM;74.983
58;MEDIUM;75.908
59;MEDIUM;76.214
60;MEDIUM;76.011
61;MEDIUM;75.96
62;MEDIUM;74.861
63;MEDIUM;75.219
64;MEDIUM;74.456
65;MEDIUM;73.882
66;MEDIUM;74.847
67;MEDIUM;76.191
68;MEDIUM;75.196
69;MEDIUM;74.811
70;MEDIUM;73.916
71;MEDIUM;73.645
72;MEDIUM;74.313
73;MEDIUM;74.177
74;MEDIUM;74.756
75;MEDIUM;74.502
76;MEDIUM;74.196
77;MEDIUM;73.436
78;MEDIUM;73.449
1;HARD;74.146
2;HARD;74.639
3;HARD;74.008
4;HARD;73.647
5;HARD;73.434
6;HARD;73.297
7;HARD;72.885
8;HARD;73.068
9;HARD;72.702
10;HARD;72.517
11;HARD;73.214
12;HARD;75.809
13;HARD;74.757
14;HARD;74.928
15;HARD;74.729
16;HARD;75.454
17;HARD;73.585
18;HARD;74.361
19;HARD;73.811
20;HARD;74.472
21;HARD;74.203
22;HARD;73.875
23;HARD;73.297
24;HARD;73.301
25;HARD;73.203
26;HARD;72.777
27;HARD;72.554
28;HARD;72.476
29;HARD;76.165
30;HARD;75.198
31;HARD;74.374
32;HARD;73.917
33;HARD;74.268
34;HARD;73.21
35;HARD;73.349
36;HARD;74.021
37;HARD;75.811
38;HARD;76.09
39;HARD;74.91
40;HARD;75.611
41;HARD;75.309
42;HARD;73.838
43;HARD;73.93
44;HARD;74.09
45;HARD;74.93
46;HARD;74.26
47;HARD;74.215
48;HARD;74.085
49;HARD;73.226
50;HARD;73.684
51;HARD;76.232
52;HARD;75.65
53;HARD;75.277
54;HARD;74.689
55;HARD;74.104
56;HARD;74.785
57;HARD;76.037
58;HARD;75.013
59;HARD;74.671
60;HARD;74.18
61;HARD;74.187
62;HARD;73.476
63;HARD;73.783
64;HARD;76.149
65;HARD;73.733
66;HARD;75.921
67;HARD;75.21
68;HARD;74.811
69;HARD;74.349
70;HARD;74.57
71;HARD;73.849
72;HARD;74.055
73;HARD;76.149
74;HARD;73.733
75;HARD;75.921
76;HARD;75.21
77;HARD;74.811
78;HARD;74.022
